candle_date_time_kst,opening_price,trade_price,high_price,change_rate,market,candle_date_time_utc,prev_closing_price,candle_acc_trade_volume,change_price,low_price,candle_acc_trade_price,timestamp
2025-07-09T09:00:00,3142.00000000,3259.00000000,3287.00000000,0.0369074133,KRW-XRP,2025-07-09T00:00:00,3143.00000000,120281818.91768361,116.00000000,3133.00000000,388089058883.07755612,1752105599857,
2025-07-08T09:00:00,3110.00000000,3143.00000000,3156.00000000,0.0102860816,KRW-XRP,2025-07-08T00:00:00,3111.00000000,51162736.70653979,32.00000000,3080.00000000,159429008659.36045039,1752019199611,
2025-07-07T09:00:00,3089.00000000,3111.00000000,3198.00000000,0.0071220460,KRW-XRP,2025-07-07T00:00:00,3089.00000000,96778816.38427834,22.00000000,3075.00000000,303375120649.85186961,1751932799917,
2025-07-06T09:00:00,3034.00000000,3089.00000000,3120.00000000,0.0181278840,KRW-XRP,2025-07-06T00:00:00,3034.00000000,60641409.47567678,55.00000000,3025.00000000,186979178018.92630921,1751846399852,
2025-07-05T09:00:00,3035.00000000,3034.00000000,3053.00000000,-0.0003294893,KRW-XRP,2025-07-05T00:00:00,3035.00000000,18540141.58778702,-1.00000000,3020.00000000,56321949332.92637175,1751759999856,
2025-07-04T09:00:00,3063.00000000,3035.00000000,3088.00000000,-0.0091413647,KRW-XRP,2025-07-04T00:00:00,3063.00000000,51356872.67408708,-28.00000000,3011.00000000,156326514990.44786777,1751673598966,
2025-07-03T09:00:00,3024.00000000,3063.00000000,3136.00000000,0.0128968254,KRW-XRP,2025-07-03T00:00:00,3024.00000000,95870213.42968828,39.00000000,3015.00000000,295828918595.93142271,1751587199815,
2025-07-02T09:00:00,2984.00000000,3024.00000000,3102.00000000,0.0134048257,KRW-XRP,2025-07-02T00:00:00,2984.00000000,83499982.40571026,40.00000000,2961.00000000,252348630320.15498412,1751500799731,
2025-07-01T09:00:00,3035.00000000,2984.00000000,3058.00000000,-0.0168039539,KRW-XRP,2025-07-01T00:00:00,3035.00000000,64434281.65974468,-51.00000000,2957.00000000,194053858882.19248973,1751414398890,
2025-06-30T09:00:00,3012.00000000,3035.00000000,3080.00000000,0.0076361222,KRW-XRP,2025-06-30T00:00:00,3012.00000000,67964430.03232409,23.00000000,2963.00000000,204427957000.72137248,1751327999914,
